claim_id,manuscript_area,claim,final_value,units,evidence_source,generator_stage,status,notes,manuscript_location
C001,Detection / model selection,Final SVM C=30 five-seed mean Macro-F1,0.737468,,evidence/tables/model_choice_lr_svm_stage_a3/stage_a3_five_seed_model_summary.csv,Stage A3,FINAL_AUTHORITATIVE,,Sec. V-A; Table III
C002,Detection / model selection,Final SVM C=30 five-seed mean ROC-AUC,0.930810,,evidence/tables/model_choice_lr_svm_stage_a3/stage_a3_five_seed_model_summary.csv,Stage A3,FINAL_AUTHORITATIVE,,Sec. V-A; Table III
C003,Detection / model selection,Final SVM C=30 five-seed mean balanced accuracy,0.853959,,evidence/tables/model_choice_lr_svm_stage_a3/stage_a3_five_seed_model_summary.csv,Stage A3,FINAL_AUTHORITATIVE,,Sec. V-A; Table III
C004,Detection / model selection,Final SVM C=30 five-seed mean false-positive rate,0.108923,,evidence/tables/model_choice_lr_svm_stage_a3/stage_a3_five_seed_model_summary.csv,Stage A3,FINAL_AUTHORITATIVE,,Sec. V-A; Table III
C005,Detection / model selection,Final SVM C=30 five-seed mean attack recall,0.816840,,evidence/tables/model_choice_lr_svm_stage_a3/stage_a3_five_seed_model_summary.csv,Stage A3,FINAL_AUTHORITATIVE,,Sec. V-A; Table III
C006,Detection / model selection,SVM minus frozen LR mean Macro-F1,+0.020739,,evidence/tables/model_choice_lr_svm_stage_a3/stage_a3_five_seed_model_summary.csv,Stage A3,FINAL_AUTHORITATIVE,Directional improvement; do not label statistically significant unless corrected tests support it.,Sec. V-A; Table III
C007,CKKS correctness,SVM S40 aggregate prediction agreement,1.000000,,evidence/tables/model_choice_lr_svm_stage_c1/stage_c1_model_profile_correctness.csv,Stage C1,FINAL_AUTHORITATIVE,,Sec. V-B; Table IV; Fig. 3
C008,CKKS correctness,SVM S40 maximum absolute score error,1.007956992e-05,score units,evidence/tables/model_choice_lr_svm_stage_c1/stage_c1_model_profile_correctness.csv,Stage C1,FINAL_AUTHORITATIVE,,Sec. V-B; Table IV; Fig. 3
C009,CKKS profile screening,S40 admissible for final SVM,True,,evidence/tables/model_choice_lr_svm_stage_c1/stage_c1_model_profile_correctness.csv,Stage C1,FINAL_AUTHORITATIVE,,Sec. V-B; Table IV; Fig. 3
C010,CKKS profile screening,S30 excluded after stricter boundary-near audit,True,,evidence/tables/model_choice_lr_svm_stage_c1/stage_c1_model_profile_correctness.csv,Stage C1,FINAL_AUTHORITATIVE,Final runtime policy is S40-only.,Sec. V-B; Table IV; Fig. 3
C011,Hard-resource validation,Tiny hard memory limit,512,MiB,evidence/tables/model_choice_lr_svm_stage_c2/stage_c2_resource_profile_overview.csv,Stage C2,FINAL_AUTHORITATIVE,,Sec. V-C; Table V
C012,Hard-resource validation,Tiny peak cgroup memory,219.184,MiB,evidence/tables/model_choice_lr_svm_stage_c2/stage_c2_resource_profile_overview.csv,Stage C2,FINAL_AUTHORITATIVE,,Sec. V-C; Table V
C013,Hard-resource validation,All three resource profiles OOM-free,True,,evidence/tables/model_choice_lr_svm_stage_c2/stage_c2_resource_profile_overview.csv,Stage C2,FINAL_AUTHORITATIVE,,Sec. V-C; Table V
C014,Hard-resource validation,Gateway S0 p95 latency,5.114090,ms/flow,evidence/tables/model_choice_lr_svm_stage_c2/stage_c2_hard_resource_state_summary.csv,Stage C2,FINAL_AUTHORITATIVE,,Sec. V-C; Table V
